strategy,final_balance,gross_earnings,gas_paid,net_earnings,rebalance_count,net_return_pct,deposit,gas_type,gas_cost
buy_and_hold,101.11010759656777,1.1101075965677722,0.0,1.1101075965677722,0,1.1101075965677722,100,L2,0.5
always_best,99.34106037301994,1.3410603730199426,2.0,-0.6589396269800574,4,-0.6589396269800574,100,L2,0.5
threshold_1.0pct,101.11002594683974,1.110025946839741,0.0,1.110025946839741,0,1.110025946839741,100,L2,0.5
threshold_2.0pct,101.11002594683974,1.110025946839741,0.0,1.110025946839741,0,1.110025946839741,100,L2,0.5
fixed_7day,100.60751723689772,1.1075172368977206,0.5,0.6075172368977206,1,0.6075172368977206,100,L2,0.5
buy_and_hold,101.11010759656777,1.1101075965677722,0.0,1.1101075965677722,0,1.1101075965677722,100,L1,5.0
always_best,81.23553910372769,1.2355391037276888,20.0,-18.76446089627231,4,-18.76446089627231,100,L1,5.0
threshold_1.0pct,101.11002594683974,1.110025946839741,0.0,1.110025946839741,0,1.110025946839741,100,L1,5.0
threshold_2.0pct,101.11002594683974,1.110025946839741,0.0,1.110025946839741,0,1.110025946839741,100,L1,5.0
fixed_7day,96.08452932566713,1.084529325667134,5.0,-3.915470674332866,1,-3.915470674332866,100,L1,5.0
buy_and_hold,505.55053798283876,5.550537982838762,0.0,5.550537982838762,0,1.1101075965677525,500,L2,0.5
always_best,504.75220020700743,6.752200207007434,2.0,4.752200207007434,4,0.9504400414014867,500,L2,0.5
threshold_1.0pct,505.55012973419866,5.550129734198663,0.0,5.550129734198663,0,1.1100259468397327,500,L2,0.5
threshold_2.0pct,505.55012973419866,5.550129734198663,0.0,5.550129734198663,0,1.1100259468397327,500,L2,0.5
fixed_7day,505.04780303392454,5.547803033924538,0.5,5.047803033924538,1,1.0095606067849074,500,L2,0.5
buy_and_hold,505.55053798283876,5.550537982838762,0.0,5.550537982838762,0,1.1101075965677525,500,L1,5.0
always_best,486.6466789377152,6.646678937715194,20.0,-13.353321062284806,4,-2.6706642124569613,500,L1,5.0
threshold_1.0pct,505.55012973419866,5.550129734198663,0.0,5.550129734198663,0,1.1100259468397327,500,L1,5.0
threshold_2.0pct,505.55012973419866,5.550129734198663,0.0,5.550129734198663,0,1.1100259468397327,500,L1,5.0
fixed_7day,500.5248151226939,5.524815122693894,5.0,0.5248151226938944,1,0.10496302453877888,500,L1,5.0
