chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2346664323,1.76862,,1.76862,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.02742,-0.08167,-1.06682,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,4.67059,0.17493,1093,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.54472,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.7760999999999998,2346.664323,21.5762607201523,>$100M,1.3859572133845313,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1208384846,2.32975,,2.32975,,aa70268e-4b52-42bf-a116-608b370f9501,-0.00771,0.01057,-1.04315,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.95078,0.16182,1103,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.28883,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.9590799999999997,1208.384846,20.912550467676223,>$100M,1.5967253337719665,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,421104681,0.89762,,0.89762,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.00057,-0.0469,-0.29685,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,0.81172,0.01546,300,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.09902,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.20140000000000013,421.104681,19.858392011569514,>$100M,1.2797547761619614,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,286076314,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,-0.5,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,3.9508,0.00698,56,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.91458,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.41457999999999995,286.076314,19.47176916885416,>$100M,3.8268932187452167,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,265302754,,,5.23647,,ff2a68af-030c-4697-b0a1-b62a738eaef0,0.01311,-0.02929,-0.23068,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,14.01865,0.37268,650,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.31955,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.08307999999999982,265.302754,19.39638220352446,>$100M,8.98070590656514,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,229119729,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,56,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.0,229.119729,19.24975526331407,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,137092734,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,56,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.0,137.092734,18.736168152610624,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,compound-v3,USDC,127860945,2.42936,0.10651,2.53587,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,-0.1173,-0.2714,-1.23519,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 87, 'binnedConfidence': 3}",,5.14475,0.15342,1222,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.33538,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.7995099999999997,127.860945,18.666453871992832,>$100M,1.9514047602557891,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,126386874,0.85242,,0.85242,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.00016,0.02577,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",horizon-market,0.97362,0.012,18,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.00252,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.15010000000000012,126.386874,18.65485819726028,>$100M,1.3112136594370094,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,125997001,0.67102,,0.67102,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.05821,0.10119,0.02721,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,1.52988,0.04292,256,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.59051,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.08050999999999997,125.997001,18.651768670981884,>$100M,1.1559146267936813,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,109054854,1.82589,,1.82589,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.01718,-0.43218,-0.84015,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,5.46513,0.16628,962,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,2.46401,,,,2026-02-16T00:34:30.525160,2026-02-16,0,0.63812,109.054854,18.507361570482878,>$100M,1.6043035883738095,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
