chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2312539308,1.78985,,1.78985,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.04323,-0.0985,-1.04998,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,4.66792,0.17491,1094,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.53149,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.7416399999999999,2312.539308,21.561612025692867,>$100M,1.4415208917238491,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1214480295,2.32143,,2.32143,,aa70268e-4b52-42bf-a116-608b370f9501,-0.02034,-0.00866,-1.04352,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.94837,0.1618,1104,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.27603,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.9546000000000001,1214.480295,20.917582082314414,>$100M,1.5959232778770793,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,422488753,0.8953,,0.8953,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.00255,-0.04901,-0.29891,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,0.81199,0.01544,301,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.09531,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.20001000000000002,422.488753,19.861673386655763,>$100M,1.2789817288324452,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,293996700,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,-0.5,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",,3.94288,0.00754,57,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.90833,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.40832999999999986,293.9967,19.499079104151562,>$100M,3.85322514945009,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,265302377,,,5.23815,,ff2a68af-030c-4697-b0a1-b62a738eaef0,0.00525,-0.02726,-0.23795,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,14.00461,0.37275,651,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.31663,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.07847999999999988,265.302377,19.396380782505414,>$100M,9.055023509887985,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,233425720,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,57,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0,233.42572,19.26837447311604,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,136589688,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,57,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0,136.589688,18.73249201908945,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,compound-v3,USDC,126982717,2.4351,0.1042,2.5393,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,-0.11728,-0.19885,-0.82359,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 87, 'binnedConfidence': 3}",,5.14259,0.15341,1223,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.32591,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.78661,126.982717,18.659561556423157,>$100M,1.9736361445970416,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,126406245,0.85291,,0.85291,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.00065,0.02624,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",horizon-market,0.96726,0.01175,19,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.9994,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.14649,126.406245,18.655011453013135,>$100M,1.319293415211372,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,125865404,0.67258,,0.67258,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.07166,0.10245,0.02843,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,1.52653,0.04293,257,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.59086,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0817199999999999,125.865404,18.650723679682525,>$100M,1.1561919823970297,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,109750941,1.81613,,1.81613,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,-0.0036,-0.45773,-0.84121,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.46127,0.1663,963,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,2.45338,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.6372500000000001,109.750941,18.513724193026228,>$100M,1.5969487799516375,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,euler-v2,RLUSD,108512182,1.5671,6.40209,7.96919,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],73e933a7-73b2-43ec-b1e9-d5d1d42ce2de,0.00036,-0.06815,0.33489,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 51, 'binnedConfidence': 1}",EVK Vault eRLUSD-7,9.90058,0.12245,141,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,7.81594,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.1532499999999999,108.512182,18.502373010355505,>$100M,12.199295828549563,Tier 3 - Emerging,L1 - Ethereum,Decentralized
Base,aave-v3,USDC,74650134,3.37526,,3.37526,,7e0661bf-8cf3-45e6-9424-31916d4c7b84,-0.25384,-0.32046,-0.14549,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 60, 'binnedConfidence': 1}",,5.2366,0.13358,709,False,['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913'],,,3.79348,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.41822000000000026,74.650134,18.12832289038722,$10-100M,3.675872884493911,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,compound-v3,USDT,71710014,2.34348,0.10856,2.45204,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,-0.00428,0.24522,-0.88804,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 97, 'binnedConfidence': 3}",,5.44106,0.16638,500,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.85014,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.3980999999999999,71.710014,18.088140975034584,$10-100M,2.730252755817838,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Cronos,tectonic,USDC,54902983,0.11418,0.00261,0.11679,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,-0.00023,-0.00089,-0.03155,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,1.84926,0.04556,1283,False,['0xc21223249CA28397B4B6541dfFaEcC539BfF0c59'],,,0.13397,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.01718,54.902983,17.82107825837243,$10-100M,0.22582079740129163,Tier 4 - New/Niche,Other,Fiat-backed
Ethereum,sparklend,USDT,50713904,3.64368,,3.64368,,8fbe28b8-140d-4e37-8804-5d2aba4daded,0.58646,1.84286,-0.36132,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 52, 'binnedConfidence': 1}",,4.60141,0.12631,768,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.84423,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.7994499999999998,50.713904,17.741710691313944,$10-100M,2.8040170841509875,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,DAI,49515158,1.90662,,1.90662,,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,-0.02001,-0.43031,-0.21874,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,4.5978,0.17058,1104,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,2.25307,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.34645000000000015,49.515158,17.71778942308052,$10-100M,2.2524898103845468,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Cronos,tectonic,USDT,44178528,0.14919,0.00047,0.14966,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],b37c26c3-848f-45f0-bd75-af97f1674a4d,1e-05,0.00012,-0.00261,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,1.54833,0.03708,1283,False,['0x66e428c3f67a68878562e79A0234c1F83c208770'],,,0.15113,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.001469999999999999,44.178528,17.60374945979306,$10-100M,0.29844257881827424,Tier 4 - New/Niche,Other,Fiat-backed
Ethereum,euler-v2,USDC,40271958,5.20834,,5.20834,,0fde8996-ecdf-441c-94a9-ec67403e9b8c,0.02354,-0.02225,0.54706,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 54, 'binnedConfidence': 1}",EVK Vault eUSDC-80,4.74804,0.04051,102,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.90514,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.30319999999999947,40.271958,17.51116597827964,$10-100M,6.484487051792833,Tier 3 - Emerging,L1 - Ethereum,Fiat-backed
Avalanche,aave-v3,USDT,33750736,1.38968,,1.38968,,e6692d08-85b6-4b50-952b-7c5c531862fe,0.02327,-0.18927,-0.68924,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",,4.39095,0.18482,1130,False,['0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7'],,,1.97385,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.5841700000000001,33.750736,17.334512812081424,$10-100M,1.2817916009481907,Tier 1 - Blue Chip,Sidechain,Fiat-backed
Ethereum,euler-v2,USDC,29069954,4.46012,,4.46012,,31a0cd94-b781-4e0d-a9f1-1702bc2c238f,0.54244,-0.40315,0.12751,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",EVK Vault eUSDC-70,5.77529,0.05963,139,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.64945,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.18933,29.069954,17.185215724546243,$10-100M,6.470224710951213,Tier 3 - Emerging,L1 - Ethereum,Fiat-backed
Avalanche,aave-v3,USDC,28244944,2.67409,,2.67409,,c4b05318-88af-4536-a834-f5fc8940d2d3,-0.02346,0.00556,-1.14755,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.41864,0.19217,1130,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,3.22888,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.5547900000000001,28.244944,17.156425061492303,$10-100M,2.5351870988538,Tier 1 - Blue Chip,Sidechain,Fiat-backed
Ethereum,aave-v3,EURC,28136652,2.48597,,2.48597,,bdcf8682-1d72-42a7-b23e-f56d666dd10e,-0.03567,0.64186,-0.62068,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",,3.20219,0.05865,230,False,['0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c'],,,2.91312,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.42715000000000014,28.136652,17.152583661567235,$10-100M,2.681302917543008,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Polygon,aave-v3,USDT0,21780374,2.06641,,2.06641,,7e7821a2-3d20-4ae7-9c3d-04cd57904555,0.0141,0.01104,-0.46304,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 89, 'binnedConfidence': 3}",,4.73812,0.16998,1282,False,['0xc2132D05D31c914a87C6611C10748AEb04B58e8F'],,,2.42778,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.36136999999999997,21.780374,16.89651989295172,$10-100M,2.3989806935463274,Tier 1 - Blue Chip,Sidechain,Fiat-backed
Polygon,aave-v3,USDC,20616124,2.05134,,2.05134,,1b8b4cdb-0728-42a8-bf13-2c8fea7427ee,-0.00313,0.26388,-0.94586,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 90, 'binnedConfidence': 3}",,5.60429,0.15213,787,False,['0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359'],,,2.51012,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.45877999999999997,20.616124,16.841584094547798,$10-100M,2.1395314879325813,Tier 1 - Blue Chip,Sidechain,Fiat-backed
Base,aave-v3,EURC,18869092,0.44765,,0.44765,,6652ed18-d327-46cd-9bac-08e0e14ea715,0.02241,-0.96309,-0.77952,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 61, 'binnedConfidence': 2}",,2.53746,0.05475,343,False,['0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42'],,,1.19749,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.74984,18.869092,16.753035850476767,$10-100M,0.35816584522818923,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,aave-v3,USDC,16250043,2.46471,,2.46471,,27296bf9-617a-46e4-9d6d-eefc71e9e0b6,-0.02136,-0.59101,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 75, 'binnedConfidence': 3}",horizon-market,3.52679,0.03951,19,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.52238,,,,2026-02-16T10:09:02.995286,2026-02-16,10,1.0576699999999999,16.250043,16.603606174428663,$10-100M,1.5823056231422576,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,euler-v2,USDC,9722640,3.70323,,3.70323,,da45ac62-f5e8-4692-b939-cb4a085baa43,-0.52117,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",Euler Earn USDC,3.70626,0.00022,2,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,3.88344,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.18020999999999976,9.72264,16.089967847349666,$1-10M,5.444245159583072,Tier 3 - Emerging,L2 - Rollup,Fiat-backed
Base,moonwell-lending,USDC,9391755,2.45596,0.73886,3.19482,['0xA88594D404727625A9437C3f886C7643872296AE'],69cf831d-624a-4f23-b5e3-c0f63ad1fa01,-0.31817,-0.51527,-1.19552,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,7.67463,0.2089,832,False,['0x833589fcd6edb6e08f4c7c32d4f71b54bda02913'],,,3.83069,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.6358700000000002,9.391755,16.055342841155472,$1-10M,2.8126634209900776,Tier 4 - New/Niche,L2 - Rollup,Fiat-backed
Arbitrum,compound-v3,USDC,9214901,2.38379,0.38159,2.76538,['0x354A6dA3fcde098F8389cad84b0182725c6C91dE'],d9c395b9-00d0-4426-a6b3-572a6dd68e54,-0.09073,0.02742,-0.57896,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,6.41887,0.14959,865,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,3.17943,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.41405000000000003,9.214901,16.036332514195003,$1-10M,3.0254143646408838,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Avalanche,benqi-lending,USDC,8285154,3.21167,0.0,3.21167,"['0x8729438eb15e2c8b576fcc6aecda6a148776c0f5', '0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7']",ff59b165-64e0-4868-a6db-6049b5135358,0.25396,-0.23764,-1.68845,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,6.53993,0.20549,1285,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.11602,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.90435,8.285154,15.929975917177153,$1-10M,2.286944137857372,Tier 3 - Emerging,Sidechain,Fiat-backed
Avalanche,euler-v2,USDC,7447785,5.29913,,5.29913,,e1db168e-7c9d-4285-9d3f-ba83a9ecf105,-0.15289,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",9Summits USDC,5.299,1e-05,2,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,5.3703,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0711700000000004,7.447785,15.823427364980603,$1-10M,9.277675648230817,Tier 3 - Emerging,Sidechain,Fiat-backed
Optimism,aave-v3,USDC,7241037,1.92753,,1.92753,,0758c3b8-4ffb-4176-b0a9-f446e367db46,0.01881,0.06191,-0.80785,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 88, 'binnedConfidence': 3}",,5.85578,0.18804,810,False,['0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85'],,,2.6419,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.7143700000000002,7.241037,15.795275124251125,$1-10M,1.58726747202253,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Arbitrum,compound-v3,USDT,6784887,2.42337,0.39395,2.81732,['0x354A6dA3fcde098F8389cad84b0182725c6C91dE'],85247b13-8180-44e7-b38c-4d324cc68a92,-0.00858,0.23028,-0.20237,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,4.53418,0.12779,589,False,['0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9'],,,2.91253,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0952099999999998,6.784887,15.730208344114128,$1-10M,4.733321012751803,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,sparklend,USDC,5174543,4.33194,,4.33194,,65ce8276-b4d9-41ba-9f6f-21fc374cf9bc,0.55944,1.19664,0.38673,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,5.54731,0.1622,839,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.63385,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.6980900000000005,5.174543,15.45926177729124,$1-10M,3.615704997120415,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Gnosis,aave-v3,USDC.E,4417139,1.31241,,1.31241,,461505e0-e631-4af0-b0e9-6a861d917939,0.01357,0.1522,-1.28198,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,2.74504,0.04621,558,False,['0x2a22f9c3b484c3629090FeED35F17Ff8F88f76F0'],,,1.96715,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.6547399999999999,4.417139,15.301002985797442,$1-10M,1.136541559138854,Tier 1 - Blue Chip,Sidechain,Fiat-backed
Ethereum,silo-v2,USDC,3734212,1.62211,,1.62211,,7105734d-9cc9-4c85-b54b-404c86c843fb,,-1.86433,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 85, 'binnedConfidence': 3}",181,3.5393,0.07483,19,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.61339,,,,2026-02-16T10:09:02.995286,2026-02-16,10,1.99128,3.734212,15.133047644842003,$1-10M,0.6511150894319386,Tier 4 - New/Niche,L1 - Ethereum,Fiat-backed
Ethereum,euler-v2,USDC,3146903,0.1756,,0.1756,,c1424055-1eb4-4c25-a30a-ebb0340dfd56,0.0,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",Earn USDC,0.1756,0.0,2,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,0.1756,,,,2026-02-16T10:09:02.995286,2026-02-16,10,0.0,3.146903,14.961929670338161,$1-10M,0.3512,Tier 3 - Emerging,L1 - Ethereum,Fiat-backed
