chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2112624576,1.88101,,1.88101,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,-0.0698,0.15308,-0.84728,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,4.63263,0.1745,1108,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.01297,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.13196000000000008,2112.624576,21.471196886817808,>$100M,2.976470029748718,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1388025296,1.97731,,1.97731,,aa70268e-4b52-42bf-a116-608b370f9501,0.00331,-0.25649,-1.93022,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,4.91246,0.16157,1118,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.49674,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.5194300000000001,1388.025296,21.051147924369264,>$100M,1.9396231227254443,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,423060922,0.87466,,0.87466,,85fc6934-c94d-4ebe-9c60-66beb363669f,0.01444,0.01886,-0.31981,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",,0.81476,0.01511,315,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.94716,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.07250000000000001,423.060922,19.86302675264453,>$100M,1.5277903930131005,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,382317122,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,,0.0,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",,3.88237,0.01043,66,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.7181,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.21810000000000018,382.317122,19.761760987096007,>$100M,4.873972984264029,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,spark-savings,USDC,295064380,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,66,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.0,295.06438,19.50270413117103,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,264468323,,,5.2957,,ff2a68af-030c-4697-b0a1-b62a738eaef0,0.01195,-0.20987,-0.06049,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,13.81583,0.37353,665,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.31365,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.01794999999999991,264.468323,19.393232044057036,>$100M,10.224345979341637,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Avalanche,spark-savings,USDC,152420996,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,66,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.0,152.420996,18.842156967317187,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,USDTB,137244952,0.57355,,0.57355,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.00396,-0.04501,-0.05854,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,1.48024,0.04304,271,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.61844,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.044889999999999985,137.244952,18.7372778653645,>$100M,1.0525977720273818,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,124983616,1.55052,,1.55052,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.00085,-0.12842,-1.32554,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,5.4054,0.1667,977,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,1.93813,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.38761,124.983616,18.643693222676937,>$100M,1.7468482779599146,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,aave-v3,RLUSD,120665300,0.8452,,0.8452,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.00145,0.07319,-0.45068,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",horizon-market,0.89826,0.00987,33,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.87796,,,,2026-03-02T08:45:46.076310,2026-03-02,8,0.03276000000000001,120.6653,18.60853116337833,>$100M,1.5864554395975672,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
