chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2050573253,1.94421,,1.94421,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,-0.05686,0.2122,-0.77661,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,4.63516,0.17453,1107,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.03422,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.09000999999999992,2050.573253,21.441385227103403,>$100M,3.2952153353333,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1392031654,1.97788,,1.97788,,aa70268e-4b52-42bf-a116-608b370f9501,-0.01378,-0.27056,-2.58567,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,4.91513,0.16158,1117,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.55102,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.5731399999999998,1392.031654,21.054030139260995,>$100M,1.84307732448702,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,422920513,0.86027,,0.86027,,85fc6934-c94d-4ebe-9c60-66beb363669f,2e-05,-0.00183,-0.33422,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",,0.81452,0.01513,314,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.95563,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.09536,422.920513,19.86269480918774,>$100M,1.4449576726686375,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,349990576,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,,0.0,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",,3.88827,0.01023,65,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.72781,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.22780999999999985,349.990576,19.673416789228163,>$100M,4.808947390115553,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,265743973,,,5.28435,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.03649,-0.23875,-0.07235,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,13.82916,0.37348,664,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.3154,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.031050000000000466,265.743973,19.398043899482392,>$100M,9.950757932398071,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,238140728,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,65,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.0,238.140728,19.28837235520711,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,151979908,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,65,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.0,151.979908,18.83925889244274,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,USDTB,137487163,0.57071,,0.57071,,baee0253-eb6e-4a08-a579-a2acd4f034b2,-0.05907,-0.09442,-0.06137,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,1.4836,0.04303,270,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.61999,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.04927999999999999,137.487163,18.73904111798599,>$100M,1.0390147101660356,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,124961217,1.54763,,1.54763,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,-0.04067,-0.12357,-1.34372,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,5.40943,0.16667,976,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,1.97168,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.42405000000000004,124.961217,18.643513991127225,>$100M,1.6748336128997348,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,aave-v3,RLUSD,120852428,0.8438,,0.8438,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.00042,0.0713,-0.76598,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",horizon-market,0.89989,0.01002,32,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.89236,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.04856000000000005,120.852428,18.610080764208426,>$100M,1.5382091293568614,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,sparklend,USDT,119364774,2.21729,,2.21729,,8fbe28b8-140d-4e37-8804-5d2aba4daded,-0.47207,0.03506,-0.92118,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 87, 'binnedConfidence': 3}",,4.56418,0.1261,781,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.46973,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.25244,119.364774,18.597694698646354,>$100M,2.946799744830153,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,compound-v3,USDC,116449888,2.51268,0.09376,2.60645,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.00083,0.03365,-0.67474,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.11531,0.15316,1236,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.69825,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.09179999999999966,116.449888,18.57297160109537,>$100M,4.404275092936806,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,euler-v2,RLUSD,105226000,1.08019,5.40634,6.48653,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],73e933a7-73b2-43ec-b1e9-d5d1d42ce2de,-0.00033,0.02055,-1.20617,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 60, 'binnedConfidence': 1}",EVK Vault eRLUSD-7,9.62296,0.1252,154,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,7.43169,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.9451599999999996,105.226,18.471620985524105,>$100M,4.488451105759918,Tier 3 - Emerging,L1 - Ethereum,Decentralized
Ethereum,compound-v3,USDT,79879892,2.17486,0.09772,2.27258,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,-0.00266,-0.14012,-0.88793,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 95, 'binnedConfidence': 3}",,5.3616,0.16607,513,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.42557,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.15298999999999996,79.879892,18.196034727001727,$10-100M,3.4802676916951256,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Base,aave-v3,USDC,71962972,3.34599,,3.34599,,7e0661bf-8cf3-45e6-9424-31916d4c7b84,0.02608,0.22244,-1.12005,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 59, 'binnedConfidence': 1}",,5.20125,0.13301,722,False,['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913'],,,3.6764,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.3304100000000001,71.962972,18.091662280812415,$10-100M,4.029322864609048,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Cronos,tectonic,USDC,55527980,0.11191,0.00268,0.11459,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,0.00063,0.00034,-0.02854,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",,1.83171,0.0462,1296,False,['0xc21223249CA28397B4B6541dfFaEcC539BfF0c59'],,,0.11978,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.00519,55.52798,17.83239761383178,$10-100M,0.22682555078287375,Tier 4 - New/Niche,Other,Fiat-backed
Ethereum,aave-v3,DAI,47723344,1.93775,,1.93775,,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,-0.02653,0.01777,-0.86984,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,4.56639,0.1702,1117,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,2.05849,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.12073999999999985,47.723344,17.680931249132993,$10-100M,3.1216773528369375,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Cronos,tectonic,USDT,44375133,0.14908,0.00048,0.14956,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],b37c26c3-848f-45f0-bd75-af97f1674a4d,8e-05,-6e-05,-0.00266,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,1.5342,0.03759,1296,False,['0x66e428c3f67a68878562e79A0234c1F83c208770'],,,0.14985,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.00029000000000001247,44.375133,17.608189825473605,$10-100M,0.2989466109656399,Tier 4 - New/Niche,Other,Fiat-backed
Ethereum,euler-v2,USDC,40057803,4.35843,,4.35843,,0fde8996-ecdf-441c-94a9-ec67403e9b8c,-0.00033,0.00122,-0.56874,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 50, 'binnedConfidence': 1}",EVK Vault eUSDC-80,4.71092,0.03868,115,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.8494,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.4909699999999999,40.057803,17.505834068926056,$10-100M,4.398145251622148,Tier 3 - Emerging,L1 - Ethereum,Fiat-backed
Avalanche,aave-v3,USDC,35982110,2.17751,,2.17751,,c4b05318-88af-4536-a834-f5fc8940d2d3,0.02454,-0.18543,-1.45314,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",,4.39448,0.1914,1143,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,2.57406,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.39654999999999996,35.98211,17.398532456249715,$10-100M,2.4287658245496626,Tier 1 - Blue Chip,Sidechain,Fiat-backed
Ethereum,aave-v3,EURC,35136826,2.22197,,2.22197,,bdcf8682-1d72-42a7-b23e-f56d666dd10e,-0.17513,0.03601,-0.89564,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 69, 'binnedConfidence': 2}",,3.1504,0.05813,243,False,['0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c'],,,2.51671,,,,2026-03-01T13:45:18.621909,2026-03-01,13,0.29474,35.136826,17.374760340687278,$10-100M,2.795845182072124,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
