chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDC,1259506756,2.24717,,2.24717,,aa70268e-4b52-42bf-a116-608b370f9501,-0.0642,-0.04262,-1.44955,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.93858,0.16171,1108,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.11559,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.86842,1259.506756,20.95398601856986,>$100M,1.642163955510735,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDT,1199408809,2.70071,,2.70071,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.89763,0.87235,-1.00828,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 70, 'binnedConfidence': 2}",,4.65825,0.17478,1098,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.32183,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.3788800000000001,1199.408809,20.90509461401104,>$100M,3.0728995994902597,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,421098167,0.88496,,0.88496,,85fc6934-c94d-4ebe-9c60-66beb363669f,0.00562,-0.01856,-0.30955,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 54, 'binnedConfidence': 1}",,0.81293,0.01534,305,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.05145,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.16649000000000003,421.098167,19.858376542612124,>$100M,1.3277918648441835,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,364066681,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,0.0,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,3.91378,0.00918,61,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.83681,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.33680999999999983,364.066681,19.712847601131045,>$100M,4.1825503997323175,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,262458517,,,5.2998,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.05628,0.05742,-0.0657,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,13.94915,0.37303,655,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.2907,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.009100000000000108,262.458517,19.38560360084176,>$100M,10.410135533294048,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,228308667,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,61,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.0,228.308667,19.246209078365784,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,146223311,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,61,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.0,146.223311,18.800645545373083,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,RLUSD,130281287,0.76668,,0.76668,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,-0.04049,-0.05972,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",horizon-market,0.93697,0.01124,23,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.9657,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.19901999999999997,130.281287,18.68520642472196,>$100M,1.0967926525707419,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,127215898,0.65509,,0.65509,,baee0253-eb6e-4a08-a579-a2acd4f034b2,-0.00139,0.07729,0.15409,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,1.51318,0.04296,261,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.60778,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.04730999999999996,127.215898,18.661396193197795,>$100M,1.1969267873782683,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,compound-v3,USDC,126327790,2.43679,0.09239,2.52918,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.01267,-0.14993,-0.81734,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 88, 'binnedConfidence': 3}",,5.13398,0.15334,1227,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.17717,,,,2026-02-20T16:37:07.986120,2026-02-20,16,0.6479899999999996,126.32779,18.65439060270384,>$100M,2.2031376579935373,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
