chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2335314271,1.7317,,1.7317,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,-0.55175,-0.00897,-1.63752,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,4.65297,0.17472,1100,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.25616,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.5244599999999999,2335.314271,21.571412310873555,>$100M,1.6903539425648635,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1249400655,2.24975,,2.24975,,aa70268e-4b52-42bf-a116-608b370f9501,0.00279,-0.09041,-1.43612,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.93365,0.16167,1110,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.02333,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.7735799999999999,1249.400655,20.945929798075632,>$100M,1.7664771745787466,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,422245717,0.86204,,0.86204,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.02007,-0.03581,-0.33237,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,0.81322,0.01529,307,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.03265,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.17061000000000004,422.245717,19.86109797268898,>$100M,1.2854565246566558,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,358041800,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,0.0,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,3.90062,0.00975,63,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.80764,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.30764000000000014,358.0418,19.69616030011859,>$100M,4.333613986429596,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,247818853,,,5.53426,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.08829,0.30133,0.2519,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,13.92315,0.37309,657,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.30539,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.22886999999999968,247.818853,19.32820860981782,>$100M,7.59293152414011,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,231024778,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,63,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.0,231.024778,19.258035531131494,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,147882665,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,63,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.0,147.882665,18.811929720001118,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,RLUSD,129154432,0.7725,,0.7725,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.03123,-0.07976,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",horizon-market,0.92339,0.01103,25,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.95081,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.17831000000000008,129.154432,18.676519401346013,>$100M,1.138859813359673,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,126709944,0.66513,,0.66513,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.00835,0.06421,0.11397,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,1.50671,0.04296,263,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.61633,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.048799999999999955,126.709944,18.657411134712966,>$100M,1.2119715743440234,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,compound-v3,USDC,119443449,2.48114,0.09149,2.57263,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.04502,-0.08287,-1.22089,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,5.12976,0.1533,1229,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.09839,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.52576,119.443449,18.598353595573766,>$100M,2.508023319294962,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,119377856,1.67193,,1.67193,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,-0.00216,-0.14715,-1.24583,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.43765,0.16645,969,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,2.27438,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.6024499999999999,119.377856,18.597804289463074,>$100M,1.5165585740849925,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,sparklend,USDT,112241566,2.18007,,2.18007,,8fbe28b8-140d-4e37-8804-5d2aba4daded,0.02143,-0.87715,-1.61595,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 87, 'binnedConfidence': 3}",,4.57977,0.12639,774,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.54468,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.3646099999999999,112.241566,18.53616395481569,>$100M,2.521448976995409,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,euler-v2,RLUSD,105987119,1.06014,5.40586,6.466,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],73e933a7-73b2-43ec-b1e9-d5d1d42ce2de,-0.00128,-1.50283,-1.15392,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",EVK Vault eRLUSD-7,9.77524,0.12352,147,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,7.72002,,,,2026-02-22T10:42:05.346101,2026-02-22,10,1.2540199999999997,105.987119,18.47882813525951,>$100M,3.686388980741383,Tier 3 - Emerging,L1 - Ethereum,Decentralized
Base,aave-v3,USDC,85427480,3.11953,,3.11953,,7e0661bf-8cf3-45e6-9424-31916d4c7b84,0.00095,-0.49973,-0.11764,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 51, 'binnedConfidence': 1}",,5.21959,0.13333,715,False,['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913'],,,3.76038,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.6408499999999999,85.42748,18.263178398564083,$10-100M,2.734391024236315,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,compound-v3,USDT,73537586,2.31983,0.09274,2.41257,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,-0.00305,-0.0427,-0.89297,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 96, 'binnedConfidence': 3}",,5.40475,0.16621,506,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.64719,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.23462000000000005,73.537586,18.113307221224012,$10-100M,3.284106068443549,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Cronos,tectonic,USDC,55395929,0.11179,0.00254,0.11433,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,-0.00014,-0.00268,-0.03443,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",,1.84112,0.04586,1289,False,['0xc21223249CA28397B4B6541dfFaEcC539BfF0c59'],,,0.12749,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.013159999999999991,55.395929,17.830016683314803,$10-100M,0.22279600904201421,Tier 4 - New/Niche,Other,Fiat-backed
Ethereum,aave-v3,DAI,48994419,1.91992,,1.91992,,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,-0.00057,-0.00672,-0.34074,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,4.58309,0.17041,1110,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,2.19741,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.27749,48.994419,17.70721697203934,$10-100M,2.469382242858429,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Cronos,tectonic,USDT,44229003,0.14916,0.00045,0.14961,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],b37c26c3-848f-45f0-bd75-af97f1674a4d,-1e-05,-4e-05,-0.00288,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,1.54177,0.03732,1289,False,['0x66e428c3f67a68878562e79A0234c1F83c208770'],,,0.1506,,,,2026-02-22T10:42:05.346101,2026-02-22,10,0.0009900000000000186,44.229003,17.60489133093846,$10-100M,0.2986287151440148,Tier 4 - New/Niche,Other,Fiat-backed
