chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2324441073,1.74029,,1.74029,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.00678,-0.0725,-0.89996,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,4.65029,0.1747,1101,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.19004,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.4497500000000003,2324.441073,21.56674544880586,>$100M,1.8323664122137397,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1272885683,2.20331,,2.20331,,aa70268e-4b52-42bf-a116-608b370f9501,-0.02919,-0.12605,-1.60058,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.93114,0.16165,1111,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.95439,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.75108,1272.885683,20.96455235201805,>$100M,1.7611263868018034,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,418012806,0.88494,,0.88494,,85fc6934-c94d-4ebe-9c60-66beb363669f,0.0226,-0.01064,-0.30951,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,0.81345,0.01527,308,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.01772,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.13278,418.012806,19.851022628775656,>$100M,1.3984955276715445,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,349976887,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,0.0,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",,3.89434,0.01,64,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.78502,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.28501999999999983,349.976887,19.67337767598166,>$100M,4.458485134136711,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,254311600,,,5.49812,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.01107,0.2607,0.16139,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,13.9098,0.37314,658,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.31336,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.1847599999999998,254.3116,19.354070848699045,>$100M,8.029265728138329,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,237844569,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,64,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.0,237.844569,19.287127951067568,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,152159520,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,64,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.0,152.15952,18.840440008754296,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,RLUSD,129183586,0.7727,,0.7727,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.00052,-0.08023,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",horizon-market,0.91757,0.01092,26,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.94114,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.16843999999999992,129.183586,18.676745105639355,>$100M,1.1559751062174617,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,127440722,0.63072,,0.63072,,baee0253-eb6e-4a08-a579-a2acd4f034b2,-0.03307,-0.03907,0.04104,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",,1.50335,0.04297,264,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.61928,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.011439999999999895,127.440722,18.663161896807978,>$100M,1.2332238385734398,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,compound-v3,USDC,119959846,2.47163,0.09126,2.56289,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,-0.01112,0.01922,-1.31571,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,5.12765,0.15328,1230,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.02309,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.46019999999999994,119.959846,18.602667636419127,>$100M,2.669121016454905,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,117676129,1.68027,,1.68027,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.00621,-0.21717,-1.21098,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.43371,0.16648,970,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,2.21985,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.5395800000000002,117.676129,18.58344674792473,>$100M,1.616296966082456,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,euler-v2,RLUSD,106027416,1.06015,5.40566,6.46581,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],73e933a7-73b2-43ec-b1e9-d5d1d42ce2de,-0.00013,-1.50323,-1.15562,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",EVK Vault eRLUSD-7,9.75253,0.1238,148,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,7.66003,,,,2026-02-23T18:42:33.345689,2026-02-23,18,1.1942199999999996,106.027416,18.47920826957535,>$100M,3.81639338456635,Tier 3 - Emerging,L1 - Ethereum,Decentralized
Ethereum,sparklend,USDT,104616227,2.3413,,2.3413,,8fbe28b8-140d-4e37-8804-5d2aba4daded,0.1568,-1.49691,-1.15462,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 89, 'binnedConfidence': 3}",,4.57689,0.12637,775,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.48495,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.14365000000000006,104.616227,18.465809240965044,>$100M,3.6375359279111312,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Base,aave-v3,USDC,82195260,3.17015,,3.17015,,7e0661bf-8cf3-45e6-9424-31916d4c7b84,0.04359,-0.2124,-0.0994,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 63, 'binnedConfidence': 2}",,5.21671,0.1333,716,False,['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913'],,,3.75494,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.5847899999999999,82.19526,18.224608206296338,$10-100M,2.9223628536398754,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,compound-v3,USDT,78540080,2.21759,0.09315,2.31074,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,-0.10428,-0.13529,-0.80339,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 94, 'binnedConfidence': 3}",,5.39856,0.16619,507,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.61198,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.30123999999999995,78.54008,18.179119638435225,$10-100M,2.8839548699515754,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Cronos,tectonic,USDC,55466326,0.11163,0.00254,0.11417,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,-4e-05,-0.00255,-0.03474,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",,1.83977,0.04591,1290,False,['0xc21223249CA28397B4B6541dfFaEcC539BfF0c59'],,,0.12595,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.011780000000000013,55.466326,17.831286673866444,$10-100M,0.22308413771542457,Tier 4 - New/Niche,Other,Fiat-backed
Ethereum,aave-v3,DAI,49149052,1.91477,,1.91477,,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,-0.00419,0.0082,-0.37897,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 85, 'binnedConfidence': 3}",,4.58065,0.17038,1111,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,2.18074,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.26597000000000004,49.149052,17.710368136823508,$10-100M,2.499797642205308,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Cronos,tectonic,USDT,44170516,0.14926,0.00045,0.14972,['0xdd73dea10abc2bff99c60882ec5b2b81bb1dc5b2'],b37c26c3-848f-45f0-bd75-af97f1674a4d,0.00011,6e-05,-0.00274,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,1.54069,0.03736,1290,False,['0x66e428c3f67a68878562e79A0234c1F83c208770'],,,0.15048,,,,2026-02-23T18:42:33.345689,2026-02-23,18,0.0007600000000000107,44.170516,17.603568088281207,$10-100M,0.2989855419761962,Tier 4 - New/Niche,Other,Fiat-backed
