chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2323393951,1.73652,,1.73652,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.00859,-0.09952,-0.89734,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",,4.64761,0.17468,1102,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.17268,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.4361600000000001,2323.393951,21.56629486395857,>$100M,1.8549393266108356,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1342480869,2.12329,,2.12329,,aa70268e-4b52-42bf-a116-608b370f9501,-0.11051,-0.17627,-1.67419,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.92857,0.16163,1112,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.92327,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.7999800000000001,1342.480869,21.017785134711318,>$100M,1.6333251280788932,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,418737751,0.88166,,0.88166,,85fc6934-c94d-4ebe-9c60-66beb363669f,0.02586,-0.0053,-0.31279,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",,0.81367,0.01525,309,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.01168,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.1300199999999999,418.737751,19.852755391720567,>$100M,1.3994158915589983,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,349683954,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,0.0,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",,3.88827,0.01023,65,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.77531,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.27531000000000017,349.683954,19.672540318796255,>$100M,4.514323302936889,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,254108475,,,5.48786,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.01771,0.25217,0.14973,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,13.8965,0.37319,659,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.31627,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.17159000000000013,254.108475,19.353271804680148,>$100M,8.171443886895277,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,237628788,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,65,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.0,237.628788,19.286220303937693,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,151708034,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,65,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.0,151.708034,18.837468409297106,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,RLUSD,128961700,0.77426,,0.77426,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.00225,-0.07776,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",horizon-market,0.91227,0.0108,27,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.93739,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.16313,128.9617,18.67502602677208,>$100M,1.1675840332966385,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,126977241,0.64171,,0.64171,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.02315,-0.02772,0.04497,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,1.50013,0.04298,265,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.62012,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.021589999999999998,126.977241,18.659518431514797,>$100M,1.2302958262236623,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,compound-v3,USDC,120184158,2.46687,0.08985,2.55672,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.00467,0.0124,-1.71074,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,5.12554,0.15327,1231,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.98503,,,,2026-02-24T09:13:46.386517,2026-02-24,9,0.4283100000000002,120.184158,18.604535782694967,>$100M,2.7541661729379188,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
