chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2241874082,1.8366,,1.8366,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.03287,0.00548,-1.02032,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",,4.66532,0.17488,1095,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.49225,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.6556499999999998,2241.874082,21.53057799721812,>$100M,1.5892354951758754,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1225251030,2.30793,,2.30793,,aa70268e-4b52-42bf-a116-608b370f9501,-0.00939,0.09344,-1.1006,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.94593,0.16178,1105,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.23563,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.9277000000000002,1225.25103,20.926411583214502,>$100M,1.61653708762345,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,424456859,0.88698,,0.88698,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.00778,-0.0506,-0.30714,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,0.81221,0.01541,302,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,1.08398,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.19699999999999995,424.456859,19.866320933109765,>$100M,1.272568149210904,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,364653353,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,-0.25,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 70, 'binnedConfidence': 2}",,3.93522,0.00803,58,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.88958,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.38958000000000004,364.653353,19.714457745213178,>$100M,3.9344409721441576,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,265449544,,,5.23561,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.001,-0.00829,-0.23771,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,13.99062,0.37283,652,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.30788,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.07226999999999961,265.449544,19.39693534292204,>$100M,9.148845824523397,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,231103156,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,58,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.0,231.103156,19.258374735904223,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,sparklend,USDT,160361239,1.59687,,1.59687,,8fbe28b8-140d-4e37-8804-5d2aba4daded,-2.10921,0.14701,-2.38709,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,4.59471,0.12645,769,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.78599,,,,2026-02-17T12:54:45.470369,2026-02-17,12,1.18912,160.361239,18.89293957831033,>$100M,0.9453857630008525,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Avalanche,spark-savings,USDC,139573576,4.0,,4.0,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,4.0,0.0,58,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,4.0,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.0,139.573576,18.75410245387319,>$100M,8.0,Tier 2 - Established,Sidechain,Fiat-backed
Ethereum,aave-v3,RLUSD,126433156,0.85207,,0.85207,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,-0.00086,0.03576,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",horizon-market,0.96145,0.01152,20,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.99076,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.13868999999999998,126.433156,18.655224323315643,>$100M,1.334090090654308,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,aave-v3,USDTB,125992525,0.66943,,0.66943,,baee0253-eb6e-4a08-a579-a2acd4f034b2,-0.00315,0.16671,0.01424,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,1.52319,0.04294,258,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.59161,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.07782,125.992525,18.651733145696085,>$100M,1.1585441833096812,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,compound-v3,USDC,125439434,2.44499,0.0992,2.5442,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.00167,-0.1888,-0.88062,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,5.14045,0.15339,1224,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.28973,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.74553,125.439434,18.64733361041082,>$100M,2.042664568496945,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,112766587,1.7874,,1.7874,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,-0.02898,-0.24545,-0.92035,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.45738,0.16632,964,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,2.41967,,,,2026-02-17T12:54:45.470369,2026-02-17,12,0.6322699999999999,112.766587,18.54083064747691,>$100M,1.578598744115803,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
