protocol,protocol_name,chain,tvl_usd,credit_risk,duration_risk,market_risk,operational_risk,total_carr,risk_tier,sharpe_proxy,stress_outflow,available_liquidity,lcr,liquidity_tier
059fa0e6-7402-498c-bfa8-561baf4e82ec,euler-v2,Avalanche,1821133,0.0499999999999999,0.005,0.03,0.01,0.0949999999999999,C (Elevated Risk),1.6365750606897318,0.050045,0.9998999999999999,19.980017983814566,Excess
0758c3b8-4ffb-4176-b0a9-f446e367db46,aave-v3,Optimism,7230170,0.022,0.005,0.03,0.008,0.065,C (Elevated Risk),1.577172429016408,0.050045,0.99992,19.980417624138276,Excess
0860763b-f949-4e38-8eba-22ffe14d400f,sparklend,Gnosis,29721,0.036,0.005,0.03,0.01,0.0809999999999999,C (Elevated Risk),1.6679480952999843,0.050045,0.9998999999999999,19.980017983814566,Excess
0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,tectonic,Cronos,54862510,0.0574999999999999,0.005,0.08,0.01,0.1525,D (High Risk),0.2261481366939848,0.05012,0.9998999999999999,19.950119712689546,Excess
0c8567f8-ba5b-41ad-80de-00a71895eb19,compound-v3,Base,1712094,0.0084999999999999,0.005,0.01,0.008,0.0315,A (Low Risk),6.677244342490938,0.050015000000000004,0.99992,19.992402279316206,Excess
0cfcfe3b-29ff-47ff-97fa-078bf4755863,aave-v3,Metis,188666,0.0115,0.005,0.08,0.008,0.1045,D (High Risk),0.326354862657758,0.05012,0.99992,19.950518754988032,Excess
0e07fbf1-83d7-47ae-af39-f8ba4d4f388c,ajna-v2,Ethereum,162482,0.0574999999999999,0.005,0.05,0.01,0.1224999999999999,D (High Risk),0.50816,0.05007500000000001,0.9998999999999999,19.968047928107833,Excess
0e84ae63-98ff-4b67-a355-9c3e1046e95c,dforce-lending,Ethereum,43779,0.0574999999999999,0.005,0.01,0.01,0.0824999999999999,C (Elevated Risk),11.18426,0.050015000000000004,0.9998999999999999,19.992002399280214,Excess
0fde8996-ecdf-441c-94a9-ec67403e9b8c,euler-v2,Ethereum,41269468,0.0394999999999999,0.005,0.01,0.01,0.0644999999999999,C (Elevated Risk),7.024924978418453,0.050015000000000004,0.9998999999999999,19.992002399280214,Excess
0fe9698a-78fc-46c5-b2ca-0fb658258ab0,euler-v2,Base,13210,0.0365,0.005,0.01,0.01,0.0615,C (Elevated Risk),3.116045061795909,0.050015000000000004,0.9998999999999999,19.992002399280214,Excess
1230754d-3438-487d-aa02-eacc1f2f6fc3,euler-v2,Avalanche,2954290,0.0365,0.005,0.01,0.01,0.0615,C (Elevated Risk),61.91236547331423,0.050015000000000004,0.9998999999999999,19.992002399280214,Excess
1b8b4cdb-0728-42a8-bf13-2c8fea7427ee,aave-v3,Polygon,20595644,0.016,0.005,0.01,0.008,0.039,B (Moderate Risk),2.119189917319542,0.050015000000000004,0.99992,19.992402279316206,Excess
1c4598df-177c-4de8-a53b-3baa3fc49932,aave-v3,Metis,311291,0.022,0.005,0.08,0.008,0.1149999999999999,D (High Risk),0.0956343617974651,0.05012,0.99992,19.950518754988032,Excess
