protocol,protocol_name,available_liquidity,stress_outflow,lcr,liquidity_tier
f981a304-bb6c-45b8-b0c5-fd2f515ad23a,aave-v3,0.99992,0.050015000000000004,19.992402279316206,Excess
aa70268e-4b52-42bf-a116-608b370f9501,aave-v3,0.99992,0.050045,19.980417624138276,Excess
85fc6934-c94d-4ebe-9c60-66beb363669f,aave-v3,0.99992,0.050045,19.980417624138276,Excess
a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,spark-savings,0.9998999999999999,0.050015000000000004,19.992002399280214,Excess
c5c74dd1-995c-4445-9d84-3e710bad7d52,spark-savings,0.9998999999999999,0.050015000000000004,19.992002399280214,Excess
ff2a68af-030c-4697-b0a1-b62a738eaef0,aave-v3,0.99992,0.050015000000000004,19.992402279316206,Excess
e96cbd55-a0a0-446a-89ba-ada6e2991d50,spark-savings,0.9998999999999999,0.050015000000000004,19.992002399280214,Excess
baee0253-eb6e-4a08-a579-a2acd4f034b2,aave-v3,0.99992,0.050045,19.980417624138276,Excess
d9fa8e14-0447-4207-9ae8-7810199dfa1f,aave-v3,0.99992,0.050045,19.980417624138276,Excess
98d07333-f5e4-4a48-8061-cfb4b73ccf79,aave-v3,0.99992,0.050045,19.980417624138276,Excess
7da72d09-56ca-4ec5-a45f-59114353e487,compound-v3,0.99992,0.050015000000000004,19.992402279316206,Excess
73e933a7-73b2-43ec-b1e9-d5d1d42ce2de,euler-v2,0.9998999999999999,0.050015000000000004,19.992002399280214,Excess
8fbe28b8-140d-4e37-8804-5d2aba4daded,sparklend,0.9998999999999999,0.050015000000000004,19.992002399280214,Excess
7e0661bf-8cf3-45e6-9424-31916d4c7b84,aave-v3,0.99992,0.050015000000000004,19.992402279316206,Excess
f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,compound-v3,0.99992,0.050015000000000004,19.992402279316206,Excess
3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,aave-v3,0.99992,0.050045,19.980417624138276,Excess
0c3c1b07-7c36-4fbb-8e71-226e02bf15c1,tectonic,0.9998999999999999,0.05012,19.950119712689546,Excess
