chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2079400829,1.88324,,1.88324,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.00543,0.09307,-0.76324,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,4.62762,0.17444,1110,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,1.95438,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.07113999999999998,2079.400829,21.455345626661668,>$100M,3.297335154252898,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1343747107,2.021,,2.021,,aa70268e-4b52-42bf-a116-608b370f9501,-0.01229,-0.00346,-1.64,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,4.90724,0.16154,1120,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.3641,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.3431000000000002,1343.747107,21.018727897651885,>$100M,2.3971059186336134,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,436343251,0.86309,,0.86309,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.02969,-0.01432,-0.31437,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 52, 'binnedConfidence': 1}",,0.81515,0.01506,317,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.92724,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.06414999999999993,436.343251,19.893939766804078,>$100M,1.529894531596207,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,351909764,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,3.87111,0.01079,68,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.67155,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.17154999999999987,351.909764,19.67888535126742,>$100M,5.211823393641576,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,268664051,,,5.27289,,ff2a68af-030c-4697-b0a1-b62a738eaef0,0.00034,-0.03615,-0.06335,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,13.78917,0.37364,667,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.30616,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.03326999999999991,268.664051,19.408972279745512,>$100M,9.8878429313481,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,255491274,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,68,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.0,255.491274,19.35869881829697,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDTB,136652448,0.58255,,0.58255,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.00713,-0.0566,-0.04491,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,1.47361,0.04307,273,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.61446,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.031909999999999994,136.652448,18.732951391875527,>$100M,1.0952040758774981,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,120825868,1.63547,,1.63547,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.04518,-0.0013,-0.84742,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,5.39743,0.16676,979,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,1.85355,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.21808000000000005,120.825868,18.609860967889713,>$100M,2.277559603386809,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,compound-v3,USDC,114666562,2.52441,0.09413,2.61854,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.01083,0.05005,-0.23413,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.10918,0.1531,1239,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.65433,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.03578999999999999,114.666562,18.557539022599386,>$100M,4.887250601914929,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,111703900,0.91438,,0.91438,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.02296,0.14972,-0.49091,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",horizon-market,0.89926,0.00957,35,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.84413,,,,2026-03-04T15:22:26.637696,2026-03-04,15,0.07024999999999992,111.7039,18.531362187332917,>$100M,1.603472161332749,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
