chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2103329244,1.86637,,1.86637,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,-0.01746,0.07802,-0.74248,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,4.6276,0.17444,1110,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,1.95233,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.08595999999999981,2103.329244,21.466787281089438,>$100M,3.1851491569390413,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1344105793,2.01787,,2.01787,,aa70268e-4b52-42bf-a116-608b370f9501,-0.01435,-0.00415,-1.61088,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,4.90724,0.16154,1120,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.3596,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.3417300000000001,1344.105793,21.018994791723255,>$100M,2.397288916873581,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,436282932,0.86312,,0.86312,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.02966,-0.0142,-0.31296,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 52, 'binnedConfidence': 1}",,0.81515,0.01506,317,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.92637,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.06325000000000003,436.282932,19.89380151974908,>$100M,1.532392365734576,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,351905350,3.4,,3.4,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,-0.1,,-0.6,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,3.86963,0.01093,68,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.66952,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.26952,351.90535,19.67887280820064,>$100M,4.418338704647053,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,268612758,,,5.27289,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-0.00118,-0.04415,-0.12569,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,13.78917,0.37364,667,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.30584,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.03294999999999959,268.612758,19.40878134278674,>$100M,9.893779904306228,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,251419099,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,68,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.0,251.419099,19.34263182577706,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDTB,136515380,0.58258,,0.58258,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.00729,-0.05456,-0.04992,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,1.47361,0.04307,273,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.61432,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.03173999999999999,136.51538,18.73194784755991,>$100M,1.0956106367773724,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,119264980,1.65894,,1.65894,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.05759,0.03971,-0.78206,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.39746,0.16676,979,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,1.85129,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.19235000000000002,119.26498,18.596858306676715,>$100M,2.3961002383187693,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,compound-v3,USDC,114669788,2.52441,0.09446,2.61887,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.01116,0.03454,-0.2411,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.10918,0.1531,1239,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.65355,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.034680000000000266,114.669788,18.557567155950004,>$100M,4.8980137652427596,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,112248347,0.9092,,0.9092,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.01778,0.12578,-0.37447,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",horizon-market,0.89912,0.00957,35,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.84309,,,,2026-03-04T17:14:35.100784,2026-03-04,17,0.06611,112.248347,18.53622436732912,>$100M,1.6060482945010688,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
