chain,protocol,asset,tvl_usd,apy_base,apy_reward,apy_total,rewardTokens,pool,apy_change_1d,apy_change_7d,apy_change_30d,is_stablecoin_flag,il_risk,token_exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apy_30d_avg,volumeUsd1d,volumeUsd7d,apyBaseInception,timestamp,date,collection_hour,apy_volatility,tvl_millions,tvl_log,tvl_category,sharpe_proxy,protocol_tier,chain_type,stable_type
Ethereum,aave-v3,USDT,2091037926,1.87627,,1.87627,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,0.00389,0.05395,-0.82854,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",,4.63013,0.17447,1109,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,1.97094,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.09466999999999981,2091.037926,21.460926395439795,>$100M,3.155144870264181,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDC,1336442893,2.03349,,2.03349,,aa70268e-4b52-42bf-a116-608b370f9501,0.04813,-0.00947,-1.67659,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 78, 'binnedConfidence': 3}",,4.90986,0.16156,1119,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.39887,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.36538000000000004,1336.442893,21.01327736460943,>$100M,2.3498231990570617,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,RLUSD,438429166,0.85931,,0.85931,,85fc6934-c94d-4ebe-9c60-66beb363669f,-0.04483,-0.02334,-0.27624,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 52, 'binnedConfidence': 1}",,0.815,0.01508,316,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.93341,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.07409999999999994,438.429166,19.898708821950713,>$100M,1.4967949834523604,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDT,352557631,3.5,,3.5,,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,0.0,,-0.5,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",,3.87666,0.01062,67,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.68448,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.1844800000000002,352.557631,19.680724661888203,>$100M,5.113370733987844,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,SGHO,269025758,,,5.27217,,ff2a68af-030c-4697-b0a1-b62a738eaef0,-4e-05,-0.21439,-0.1157,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,13.80246,0.37359,666,False,['0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f'],,,5.30862,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.036450000000000315,269.025758,19.410317691345885,>$100M,9.827887035138405,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,spark-savings,USDC,251407679,4.0,,4.0,,c5c74dd1-995c-4445-9d84-3e710bad7d52,0.0,,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.0,0.0,67,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,4.0,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.0,251.407679,19.342586402579826,>$100M,8.0,Tier 2 - Established,L1 - Ethereum,Fiat-backed
Ethereum,aave-v3,USDTB,137115430,0.57529,,0.57529,,baee0253-eb6e-4a08-a579-a2acd4f034b2,0.00097,-0.06393,-0.05678,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,1.4769,0.04306,272,False,['0xC139190F447e929f090Edeb554D95AbB8b18aC1C'],,,0.6156,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.04031000000000007,137.11543,18.736333691080052,>$100M,1.0647406118709628,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Arbitrum,aave-v3,USDC,122203828,1.59329,,1.59329,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.11751,-0.05156,-1.1124,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,5.40135,0.16674,978,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,1.87282,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.27952999999999983,122.203828,18.62120093808976,>$100M,2.0439110746218883,Tier 1 - Blue Chip,L2 - Rollup,Fiat-backed
Ethereum,aave-v3,RLUSD,114145962,0.89169,,0.89169,,98d07333-f5e4-4a48-8061-cfb4b73ccf79,0.02088,0.11377,-0.40961,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 84, 'binnedConfidence': 3}",horizon-market,0.89882,0.00971,34,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,0.85393,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.037760000000000016,114.145962,18.552988564567872,>$100M,1.6581560547456113,Tier 1 - Blue Chip,L1 - Ethereum,Decentralized
Ethereum,compound-v3,USDC,113618197,2.53302,0.08933,2.62235,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.01673,0.05581,-0.22657,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,5.11122,0.15312,1238,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,2.65932,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.03697000000000017,113.618197,18.54835424508366,>$100M,4.883606160493136,Tier 1 - Blue Chip,L1 - Ethereum,Fiat-backed
Ethereum,euler-v2,RLUSD,105204906,1.08036,5.4063,6.48666,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],73e933a7-73b2-43ec-b1e9-d5d1d42ce2de,0.00031,0.05829,-1.41078,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 60, 'binnedConfidence': 1}",EVK Vault eRLUSD-7,9.58217,0.12557,156,False,['0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD'],,,7.32944,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.8427800000000003,105.204906,18.471420501666756,>$100M,4.830769001623496,Tier 3 - Emerging,L1 - Ethereum,Decentralized
Ethereum,sparklend,USDT,105026639,2.30829,,2.30829,,8fbe28b8-140d-4e37-8804-5d2aba4daded,0.45549,-0.96461,-0.74454,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 89, 'binnedConfidence': 3}",,4.55782,0.1261,783,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.37905,,,,2026-03-04T00:05:02.098532,2026-03-04,0,0.07075999999999993,105.026639,18.469724590227486,>$100M,4.044239259934123,Tier 2 - Established,L1 - Ethereum,Fiat-backed
